Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Self,Ind_DE,PAC,National_Sub_Committees,sub_100,Candidate_Committee,Individual,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
0,BETHANY A. HALL-LONG,STATE SENATOR DISTRICT 10,D,64.9,1,2008,1000183,0,11850,14950,0,5040,2925,1600,36365,1490,1800,905.67,8125.48,2703.92,12890.61,62654.11,3008.36,150,0,93728.15
0,JAMES DAVID WELDIN,STATE SENATOR DISTRICT 10,R,35.1,0,2008,1000248,0,4500,7352,0,100,800,0,12752,0,612.78,0,309.5,9009,10957.59,716.9,0,0,0,21605.77
1,ANTHONY J. DELUCA,STATE SENATOR DISTRICT 11,D,100,1,2008,1000108,0,7675,7800,0,1825,1200,0,18500,2248.95,3600,0,4168.26,5178.38,398.5,2820,0,0,0,18414.09
1,COLIN BONINI,STATE SENATOR DISTRICT 16,R,56.4,1,2008,1003502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,COLIN BONINI,STATE SENATOR DISTRICT 16,R,56.4,1,2008,1000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,COLIN BONINI,STATE SENATOR DISTRICT 16,R,56.4,1,2008,1002090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HAROLD E. STAFFORD,STATE SENATOR DISTRICT 16,D,43.6,0,2008,1001571,0,14565,6308.14,0,4165.28,2350,450,27838.42,1982.52,1230,5467.48,2783.08,165,16805.83,29213.6,120,0,0,57767.51
0,BRIAN J. BUSHWELLER,STATE SENATOR DISTRICT 17,D,56.5,1,2008,1000334,0,15275,11053.5,0,15179.06,4325,3350,49182.56,0,5202.41,17798.68,1122.15,3116.74,58892.76,5735.31,14.13,0,0,91882.18
0,JAMES L. HUTCHISON,STATE SENATOR DISTRICT 17,R,43.5,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JAMES L. HUTCHISON,STATE SENATOR DISTRICT 17,R,43.5,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JAMES L. HUTCHISON,STATE SENATOR DISTRICT 17,R,43.5,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JAMES L. HUTCHISON,STATE SENATOR DISTRICT 17,R,43.5,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NANCY H. WAGNER,STATE REPRESENTATIVE DISTRICT 31,R,47.4,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NANCY H. WAGNER,STATE REPRESENTATIVE DISTRICT 31,R,47.4,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NANCY H. WAGNER,STATE REPRESENTATIVE DISTRICT 31,R,47.4,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NANCY H. WAGNER,STATE REPRESENTATIVE DISTRICT 31,R,47.4,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KEVIN F. KELLEY,CITY COUNCIL DISTRICT 6,D,100,1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KEVIN F. KELLEY,CITY COUNCIL DISTRICT 6,D,100,1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KEVIN F. KELLEY,CITY COUNCIL DISTRICT 6,D,100,1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,KEVIN F. KELLEY,CITY COUNCIL DISTRICT 6,D,100,1,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON II,5TH LEVY COURT DISTRICT (K),R,41.3,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON II,5TH LEVY COURT DISTRICT (K),R,41.3,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON II,5TH LEVY COURT DISTRICT (K),R,41.3,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON II,5TH LEVY COURT DISTRICT (K),R,41.3,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,F. GARY SIMPSON,STATE SENATOR DISTRICT 18,R,55.1,1,2008,1000127,0,17420,700,0,0,602,2400,21122,1710,3600,3740,2393.5,29611.24,6294.52,0,411.3,0,0,47760.56
0,GARY DOWNES,STATE SENATOR DISTRICT 18,D,44.9,0,2008,1001802,5000,0,2350,0,400,0,0,7750,0,0,310,0,294,24919.33,1422.75,0,0,0,26946.08
1,ROBERT L. VENABLES SR.,STATE SENATOR DISTRICT 21,D,100,1,2008,1000028,0,1800,5500,0,350,0,0,7650,1710,1800,0,175,0,4604.91,0,0,0,0,8289.91
1,DENNIS P. WILLIAMS,STATE REPRESENTATIVE DISTRICT 1,D,91.1,1,2008,1002576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DENNIS P. WILLIAMS,STATE REPRESENTATIVE DISTRICT 1,D,91.1,1,2008,1000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JAMES A. MCCLAIN JR,STATE REPRESENTATIVE DISTRICT 1,R,8.9,0,2008,1001847,0,120,500,0,0,0,0,620,0,0,85,0,0,270.94,0,0,0,0,355.94
1,HAZEL D. PLANT,STATE REPRESENTATIVE DISTRICT 2,D,94.3,1,2008,1000215,0,3100,7700,0,0,0,0,10800,795,0,0,4330.41,1149,9475.94,450,159,0,0,16359.35
0,ROBERT E. BROWN,STATE REPRESENTATIVE DISTRICT 2,O,5.7,0,2008,1001616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HELENE M. KEELEY,STATE REPRESENTATIVE DISTRICT 3,D,100,1,2008,1000033,0,2950,12875,0,7225,200,550,23800,795,5000,1975,11721.7,3836.25,2624.31,4441.52,2108,3837.37,0,36339.15
1,GERALD L. BRADY,STATE REPRESENTATIVE DISTRICT 4,D,73.4,1,2008,1001020,0,5300,12700,0,0,700,700,19400,9591.81,1100,1025,10732.29,7317.59,6551.62,3681,0,819.27,0,40818.58
0,TYLER PATRICK NIXON,STATE REPRESENTATIVE DISTRICT 4,R,26.6,0,2008,1000350,0,1800,1795,0,1510,0,0,5105,795,0,0,0,0,1061.93,255,0,0,0,2111.93
1,MELANIE GEORGE MARSHALL,STATE REPRESENTATIVE DISTRICT 5,D,100,1,2008,1000293,0,1800,2950,0,100,0,600,5450,0,1100,0,1766.89,2591.56,18687.88,1020,90,0,0,25256.33
1,DIANA M. MCWILLIAMS,STATE REPRESENTATIVE DISTRICT 6,D,100,1,2008,1000371,0,400,2900,0,875,0,0,4175,1404.31,1746,241.98,1884.6,1080,800,115,100,0,0,7371.89
0,BRYON H. SHORT,STATE REPRESENTATIVE DISTRICT 7,D,58.6,1,2008,1001546,0,22005,21678.16,0,16706.73,2250,4050,66689.89,2273.82,3239.42,5381.34,7940.14,10525.47,58904.46,10446.5,3488.77,0,0,102199.92
0,JAMES BOWERS,STATE REPRESENTATIVE DISTRICT 7,R,41.4,0,2008,1001553,0,700,1064,0,25,0,500,2289,0,0,850,1449.88,11815.97,35939.16,1380.44,0,0,0,51435.45
0,S. QUINTON JOHNSON IV,STATE REPRESENTATIVE DISTRICT 8,D,57.2,1,2008,1001763,0,7800,8246.56,0,1020,1325,1050,19441.56,0,0,650,4140.57,2592.52,25651.67,1565.99,900,600,0,36100.75
0,MARTHA B. STURTEVANT,STATE REPRESENTATIVE DISTRICT 8,R,42.8,0,2008,1001812,0,3000,6559.12,0,0,2390.93,200,12150.05,0,700.12,300,694.66,0,13235.69,7218.19,0,0,0,22148.66
1,RICHARD C. CATHCART,STATE REPRESENTATIVE DISTRICT 9,R,53.8,1,2008,1000037,0,17857,11545,0,0,0,4900,34302,0,1145,44254.68,3716.21,7518.49,11526.79,1457.14,150,0,0,69768.31
0,REBECCA WALKER,STATE REPRESENTATIVE DISTRICT 9,D,46.2,0,2008,1001468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DENNIS E. WILLIAMS,STATE REPRESENTATIVE DISTRICT 10,D,51,1,2008,1001776,0,1200,19305.72,0,400,1800,0,22705.72,795,0,1607.31,130,6146.91,3096.23,20458.99,1217.92,1328.67,0,34781.03
1,ROBERT J. VALIHURA JR.,STATE REPRESENTATIVE DISTRICT 10,R,49,0,2008,1000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GREGORY F. LAVELLE,STATE REPRESENTATIVE DISTRICT 11,R,63.3,1,2008,1000754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GREGORY F. LAVELLE,STATE REPRESENTATIVE DISTRICT 11,R,63.3,1,2008,1000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHARLES OLD JR.,STATE REPRESENTATIVE DISTRICT 11,D,36.7,0,2008,1001862,0,0,1000,0,225,0,0,1225,0,382,0,0,0,0,743,0,0,0,1125
1,DEBORAH D. HUDSON,STATE REPRESENTATIVE DISTRICT 12,R,100,1,2008,1000039,0,2130.09,8600,0,3029.78,0,800,14559.87,845,2535,2225.52,6366.11,11107.82,4713.65,5265.28,2429.53,3428.93,0,38916.84
1,DEBORAH D. HUDSON,STATE REPRESENTATIVE DISTRICT 12,R,100,1,2008,1000039,0,2130.09,8600,0,3029.78,0,800,14559.87,845,2535,2225.52,6366.11,11107.82,4713.65,5265.28,2429.53,3428.93,0,38916.84
0,BARBARA A. HUDSON,STATE REPRESENTATIVE DISTRICT 40,D,41.2,0,2008,1000039,0,2130.09,8600,0,3029.78,0,800,14559.87,845,2535,2225.52,6366.11,11107.82,4713.65,5265.28,2429.53,3428.93,0,38916.84
0,BARBARA A. HUDSON,STATE REPRESENTATIVE DISTRICT 40,D,41.2,0,2008,1000039,0,2130.09,8600,0,3029.78,0,800,14559.87,845,2535,2225.52,6366.11,11107.82,4713.65,5265.28,2429.53,3428.93,0,38916.84
1,JOHN L. MITCHELL JR.,STATE REPRESENTATIVE DISTRICT 13,D,96.1,1,2008,1001316,0,3400,4400,0,2500,0,1250,11550,0,1350,601.64,3319.91,1362,2876.7,0,0,0,0,9510.25
1,PETER C. SCHWARTZKOPF,STATE REPRESENTATIVE DISTRICT 14,D,100,1,2008,1000275,0,6361.53,4750,0,1795,0,850,13756.53,0,7200,5659.79,3738.65,6111,5334.76,698.91,2274.97,125,0,31143.08
1,VALERIE LONGHURST,STATE REPRESENTATIVE DISTRICT 15,D,100,1,2008,1000298,0,610,3675,0,2050,0,0,6335,795,2700,0,4892.01,3918.68,2025.61,326.9,40,100,0,14798.2
1,JAMES JOHNSON,STATE REPRESENTATIVE DISTRICT 16,D,100,1,2008,1000396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,MICHAEL MULROONEY,STATE REPRESENTATIVE DISTRICT 17,D,83.4,1,2008,1000120,0,1050,7550,0,2325,37653.32,0,48578.32,0,2700,944,3372.72,4743,9210.07,1118.14,0,0,0,22087.93
0,DAVID LEE OSBORN,STATE REPRESENTATIVE DISTRICT 17,R,16.6,0,2008,1001488,0,0,0,0,0,0,0,0,0,0,0,375.58,0,0,121.06,1225.94,105.53,0,1828.11
0,MICHAEL A. BARBIERI,STATE REPRESENTATIVE DISTRICT 18,D,52,1,2008,1001400,1329,5450,7086,0,2800,2400,2000,21065,0,1886,0,2136.76,1062.92,8987.21,8753,0,100,0,22925.89
1,TERRY R. SPENCE,STATE REPRESENTATIVE DISTRICT 18,R,48,0,2008,1000045,0,14145,6325,0,0,600,11475,32545,795,2000,125,10367.32,1636.5,39629.33,1241,0,0,60,55854.15
1,ROBERT F. GILLIGAN,STATE REPRESENTATIVE DISTRICT 19,D,78.4,1,2008,1000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JOSEPH M. SAKELEY,STATE REPRESENTATIVE DISTRICT 19,R,20.9,0,2008,1001848,0,0,0,0,0,300,0,300,0,0,0,0,0,2350,0,0,0,0,2350
0,STEPHEN MICHAEL ANNAND,STATE REPRESENTATIVE DISTRICT 19,O,0.7,0,2008,1001856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NICK T. MANOLAKOS,STATE REPRESENTATIVE DISTRICT 20,R,99.7,1,2008,1001452,0,16760,9831.81,0,2182.72,0,0,28774.53,0,360,8454.32,17169.87,4717.7,2695.58,9712.89,0,300,0,43410.36
0,DANIEL D. RAPPA JR.,STATE REPRESENTATIVE DISTRICT 20,O,0.3,0,2008,1003135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MICHAEL RAMONE,STATE REPRESENTATIVE DISTRICT 21,R,55.1,1,2008,1001285,0,21300,3095,0,100,2800,2850,30145,0,150,3496.86,2421.4,3221.62,33305.58,2315,0,0,0,44910.46
0,PATRICIA D. CREEDON,STATE REPRESENTATIVE DISTRICT 21,D,44.9,0,2008,1001808,0,2800,29884.26,0,1125,2400,2900,39109.26,795,0,2011.87,1385,3755.65,4772.35,41128.61,0,0,0,53848.48
1,JOSEPH E. MIRO,STATE REPRESENTATIVE DISTRICT 22,R,66.1,1,2008,1000070,0,5575,3000,0,1775,0,2550,12900,795,2085,2265.68,4550.62,5501.33,7592.24,4787.18,668,0,0,28245.05
0,REBECCA H. YOUNG,STATE REPRESENTATIVE DISTRICT 22,D,33.9,0,2008,1001861,0,3040,4051.01,0,1370,1400,0,9861.01,0,0,0,451.78,1498.22,2474.25,8230.96,0,0,0,12655.21
1,TERESA L. SCHOOLEY,STATE REPRESENTATIVE DISTRICT 23,D,75,1,2008,1000335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JESSE PRIESTER IV,STATE REPRESENTATIVE DISTRICT 23,R,25,0,2008,1001819,0,0,1192.5,0,250,900,0,2342.5,795,0,99.48,0,0,0,2357.03,4.99,0,0,3256.5
1,WILLIAM A. OBERLE JR.,STATE REPRESENTATIVE DISTRICT 24,R,54,1,2008,1000050,0,6250,7125,0,0,0,1000,14375,0,2000,0,1864.5,3990.05,8493.24,12630.85,0,646.5,0,29625.14
0,DANIEL BASARA,STATE REPRESENTATIVE DISTRICT 24,D,46,0,2008,1001860,0,0,0,0,0,0,0,0,0,0,0,0,476.76,232.82,0,275,0,0,984.58
0,JOHN A. KOWALKO JR.,STATE REPRESENTATIVE DISTRICT 25,D,73.4,1,2008,1000444,0,1900,16425,0,2600,2325,1500,24750,0,1525,1200.44,2211.54,10715.96,5814.92,12716.63,226.94,0,0,34411.43
0,JAMES GATES,STATE REPRESENTATIVE DISTRICT 25,R,26.6,0,2008,1001843,0,400,9787.83,0,500,900,0,11587.83,0,2000,0,130.38,0,12633.49,16.99,0,0,0,14780.86
1,JOHN J. VIOLA,STATE REPRESENTATIVE DISTRICT 26,D,79.9,1,2008,1000122,0,3350,9050,0,2800,600,0,15800,0,2300,856.8,3230.1,5651.18,5536.66,3134,1229,200,0,22137.74
0,JEREMY FILLIBEN,STATE REPRESENTATIVE DISTRICT 26,R,20.1,0,2008,1001792,0,2450,4595,0,627.95,0,0,7672.95,795,0,0,0,143.1,6453.33,3289.58,0,0,0,10681.01
0,EARL JAQUES,STATE REPRESENTATIVE DISTRICT 27,D,48.7,1,2008,1001341,0,3300,5700,0,800,2150,1200,13150,795,250,0,1678.48,7941.27,5808.27,5579,0,0,0,22052.02
1,VINCENT A. LOFINK,STATE REPRESENTATIVE DISTRICT 27,R,48.3,0,2008,1000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JAMES L. SPENCER,STATE REPRESENTATIVE DISTRICT 27,O,3,0,2008,1001686,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,0,0,1727
0,WILLIAM J. CARSON,STATE REPRESENTATIVE DISTRICT 28,D,100,1,2008,1001609,0,2071,8410,0,0,1548.5,0,12029.5,0,2000,0,4401.77,3571,2800,2872.23,0,0,0,15645
1,PAMELA THORNBURG,STATE REPRESENTATIVE DISTRICT 29,R,50.2,1,2008,1000179,0,4120,0,0,180,0,0,4300,0,1450,96,2222.68,7007.37,10405.04,4188.25,0,200,255.41,25824.75
0,W. CHARLES PARADEE III,STATE REPRESENTATIVE DISTRICT 29,D,49.8,0,2008,1001577,2000,7325,4450,0,430,1435.4,600,16240.4,0,600,125.31,1741.33,323.27,28126.41,2015.01,74.06,0,0,33005.39
1,WILLIAM R. OUTTEN,STATE REPRESENTATIVE DISTRICT 30,R,100,1,2008,1000413,0,2300,2850,0,700,0,0,5850,750,2400,0,1682.5,1969.75,3500.3,2699.99,0,0,0,13002.54
0,DARRYL M. SCOTT,STATE REPRESENTATIVE DISTRICT 31,D,52.6,1,2008,1001596,0,6725,9905,0,4543.6,1800,3240.4,26214,795,199,4365.7,116.52,2841.93,18043.08,20895,203.44,0,0,47459.67
0,E. BRADFORD BENNETT,STATE REPRESENTATIVE DISTRICT 32,D,57,1,2008,1001491,0,10750,6200,0,5105,1650,3900,27605,0,200,0,1483.49,2310,50502.43,1634.51,0,0,0,56130.43
1,DONNA STONE,STATE REPRESENTATIVE DISTRICT 32,R,43,0,2008,1000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ROBERT E. WALLS,STATE REPRESENTATIVE DISTRICT 33,D,53.7,1,2008,1001277,0,18480.99,10860.6,0,3607.69,0,2622.48,35571.76,1045,0,3834.02,3427.91,492.5,54199.16,1130,0,0,0,64128.59
0,HAROLD J. PETERMAN,STATE REPRESENTATIVE DISTRICT 33,R,46.3,0,2008,1000093,0,5425,3000,0,0,600,0,9025,750,150,100,877.3,1962.51,35676.62,2565.5,300,0,0,42381.93
1,DONALD A. BLAKEY,STATE REPRESENTATIVE DISTRICT 34,R,61.3,1,2008,1000094,0,1013.6,1750,0,400,0,0,3163.6,0,0,0,2628.68,4230.65,3540.44,3446.49,0,0,0,13846.26
0,G. BRUCE HAMILTON,STATE REPRESENTATIVE DISTRICT 34,D,38.7,0,2008,1001853,0,900,402.68,0,100,0,0,1402.68,0,0,0,12.52,0,20,897,325.36,64.8,0,1319.68
0,DAVID L. WILSON,STATE REPRESENTATIVE DISTRICT 35,R,61,1,2008,1001791,0,13422.5,6700,0,0,3200,550,23872.5,0,400,150,875,0,36698.96,0,0,0,0,38123.96
0,DAVID L. WILSON,STATE REPRESENTATIVE DISTRICT 35,R,61,1,2008,1001791,0,13422.5,6700,0,0,3200,550,23872.5,0,400,150,875,0,36698.96,0,0,0,0,38123.96
0,L. AARON CHAFFINCH,STATE REPRESENTATIVE DISTRICT 35,D,39,0,2008,1001791,0,13422.5,6700,0,0,3200,550,23872.5,0,400,150,875,0,36698.96,0,0,0,0,38123.96
0,L. AARON CHAFFINCH,STATE REPRESENTATIVE DISTRICT 35,D,39,0,2008,1001791,0,13422.5,6700,0,0,3200,550,23872.5,0,400,150,875,0,36698.96,0,0,0,0,38123.96
0,DAVID L. WILSON,STATE REPRESENTATIVE DISTRICT 35,R,61,1,2008,1001873,6629.47,5850,7225.26,0,1200,200,0,21104.73,0,0,0,2377.57,0,27293.6,2541,0,0,0,32212.17
1,V. GEORGE CAREY,STATE REPRESENTATIVE DISTRICT 36,R,100,1,2008,1000061,0,3605,5325,0,350,0,0,9280,0,1200,3962,600,3471.5,4622.87,1068.21,0,0,0,14924.58
1,JOSEPH W. BOOTH,STATE REPRESENTATIVE DISTRICT 37,R,64.2,1,2008,1002077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JOSEPH W. BOOTH,STATE REPRESENTATIVE DISTRICT 37,R,64.2,1,2008,1000279,0,6050,9500,0,200,0,0,15750,855,1150,2537.79,39671.59,2706.2,5069.62,2122.25,447.3,0,0,54559.75
0,HELEN C. TRUITT,STATE REPRESENTATIVE DISTRICT 37,D,35.8,0,2008,1001799,0,2060,4850,0,175,600,0,7685,855,0,0,475,2560.34,2245.35,2182.08,25,0,0,8342.77
1,GERALD W. HOCKER,STATE REPRESENTATIVE DISTRICT 38,R,72.1,1,2008,1000408,0,850,9850,0,0,0,0,10700,0,1300,194.94,7933.9,7686.9,12547.88,5074.25,1169,4000,0,39906.87
0,MARY K. RYAN,STATE REPRESENTATIVE DISTRICT 38,D,27.9,0,2008,1001854,0,6614.65,7800,0,3000,300,4110.82,21825.47,0,600,0,1593.75,42,15938.83,4478.42,0,0,0,22653
1,DANIEL B. SHORT,STATE REPRESENTATIVE DISTRICT 39,R,68.8,1,2008,1001340,0,19275,4055.75,0,400,0,1950,25680.75,855,755.75,3322.52,5739.58,3145.43,24335.05,2271.29,166.22,150,0,40740.84
0,JERRY L. SEMPER,STATE REPRESENTATIVE DISTRICT 39,D,31.2,0,2008,1001755,0,1500,7150,0,141,600,400,9791,855,141,684.26,111.07,0,1134.71,9190.49,0,0,0,12116.53
1,CLIFFORD G. LEE,STATE REPRESENTATIVE DISTRICT 40,R,58.8,1,2008,1000065,0,1470,8920,0,700,0,0,11090,0,0,2049.81,1389.3,6184.43,19618.32,9198.99,0,0,0,38440.85
1,JOHN C. ATKINS,STATE REPRESENTATIVE DISTRICT 41,D,53,1,2008,1000316,0,11900,23200,0,4599,0,500,40199,855,1200,3455.27,3025.1,5012.13,73258.48,1152.18,0,400,0,88358.16
0,GREGORY A. HASTINGS,STATE REPRESENTATIVE DISTRICT 41,R,47,0,2008,1001210,0,18500,6330.5,0,600,250,400,26080.5,855,2030.5,1206.75,1886.6,7282.26,32321.5,6910.16,0,0,0,52492.77
1,CHRISTOPHER A. COONS,COUNTY EXECUTIVE (N),D,100,1,2008,1000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PAUL G. CLARK,PRESIDENT OF COUNTY COUNCIL (N),D,100,1,2008,1001318,0,19925,3500,0,0,0,1425,24850,0,4857.8,14230.39,721,6251.46,14270.7,17038.49,600,2069.4,0,60039.24
1,PAUL G. CLARK,PRESIDENT OF COUNTY COUNCIL (N),D,100,1,2008,1002386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GEORGE SMILEY,COUNTY COUNCIL DISTRICT 7 (N),D,100,1,2008,1000336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JOHN CARTIER,COUNTY COUNCIL DISTRICT 8 (N),D,100,1,2008,1000342,0,4900,900,0,435,0,700,6935,4870,1850,935,2444.74,261.87,4409.39,5437,0,7504.5,0,27712.5
1,TIMOTHY P. SHELDON,COUNTY COUNCIL DISTRICT 9 (N),D,100,1,2008,1000417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JEA P. STREET,COUNTY COUNCIL DISTRICT 10 (N),D,100,1,2008,1000394,0,0,0,0,0,0,0,0,0,933,1820,0,0,969.5,0,0,0,0,3722.5
1,DAVID L. TACKETT,COUNTY COUNCIL DISTRICT 11 (N),D,100,1,2008,1000328,0,0,800,0,0,0,0,800,0,600,75,2767.74,635,385,3447,100,0,0,8009.74
1,WILLIAM BELL,COUNTY COUNCIL DISTRICT 12 (N),D,64.5,1,2008,1000392,0,2500,1500,0,0,0,0,4000,0,0,821.45,2921.14,1420.98,6827.76,634.11,0,371.02,0,12996.46
0,LAURA BROWN,COUNTY COUNCIL DISTRICT 12 (N),R,35.5,0,2008,1000355,0,0,3020,0,0,250,0,3270,0,0,1521,589,0,1649,1267,0,0,0,5026
